,Word,Frequency
363,"('наш', 'общий')","(1, 1)"
364,"('наш', 'родной')","(1, 1)"
365,"('небо', 'бог')","(1, 1)"
366,"('небо', 'взглядывать')","(1, 1)"
367,"('небо', 'звезда')","(1, 1)"
368,"('небо', 'звездный')","(1, 1)"
369,"('небо', 'край')","(1, 1)"
370,"('наш', 'мир')","(1, 1)"
371,"('небо', 'небо')","(1, 1)"
372,"('небо', 'облако')","(1, 1)"
373,"('небо', 'отчего')","(1, 1)"
374,"('небо', 'простор')","(1, 1)"
375,"('небо', 'рваться')","(1, 1)"
376,"('небо', 'рука')","(1, 1)"
377,"('наш', 'народ')","(1, 1)"
378,"('наш', 'любовь')","(1, 1)"
379,"('небо', 'синий')","(1, 1)"
380,"('наш', 'гора')","(1, 1)"
381,"('наш', 'бедный')","(1, 1)"
382,"('наш', 'братство')","(1, 1)"
383,"('наш', 'век')","(1, 1)"
384,"('наш', 'время')","(1, 1)"
385,"('наш', 'встреча')","(1, 1)"
386,"('наш', 'глаз')","(1, 1)"
387,"('наш', 'губа')","(1, 1)"
388,"('наш', 'край')","(1, 1)"
389,"('наш', 'день')","(1, 1)"
390,"('наш', 'дом')","(1, 1)"
391,"('наш', 'дружба')","(1, 1)"
392,"('наш', 'жена')","(1, 1)"
393,"('наш', 'жизнь')","(1, 1)"
394,"('наш', 'земля')","(1, 1)"
395,"('небо', 'сверкающий')","(1, 1)"
396,"('небо', 'сокол')","(1, 1)"
397,"('новый', 'жизнь')","(1, 1)"
398,"('никак', 'мочь')","(1, 1)"
399,"('немой', 'жить')","(1, 1)"
400,"('немой', 'земля')","(1, 1)"
401,"('неподкупный', 'бровь')","(1, 1)"
402,"('нести', 'вершина')","(1, 1)"
403,"('неуклюжий', 'выделяться')","(1, 1)"
404,"('нигде', 'имам')","(1, 1)"
405,"('никак', 'северный')","(1, 1)"
406,"('нелюбимый', 'священник')","(1, 1)"
407,"('никто', 'блеклый')","(1, 1)"
408,"('нина', 'михайловна')","(1, 1)"
409,"('новый', 'век')","(1, 1)"
410,"('новый', 'время')","(1, 1)"
411,"('новый', 'год')","(1, 1)"
412,"('новый', 'день')","(1, 1)"
413,"('немало', 'год')","(1, 1)"
414,"('неложный', 'зерцало')","(1, 1)"
415,"('небо', 'темнеть')","(1, 1)"
416,"('неделя', 'начало')","(1, 1)"
417,"('небо', 'ты')","(1, 1)"
418,"('небо', 'тянуться')","(1, 1)"
419,"('небо', 'черный')","(1, 1)"
420,"('небосклон', 'армения')","(1, 1)"
421,"('неведомый', 'новый')","(1, 1)"
422,"('невольно', 'возбуждать')","(1, 1)"
423,"('недобрый', 'терпеливый')","(1, 1)"
424,"('незнакомый', 'обряд')","(1, 1)"
425,"('недовольный', 'вместо')","(1, 1)"
426,"('нежный', 'аромат')","(1, 1)"
427,"('нежный', 'взор')","(1, 1)"
428,"('нежный', 'друг')","(1, 1)"
429,"('нежный', 'звук')","(1, 1)"
430,"('нежный', 'профиль')","(1, 1)"
431,"('орел', 'владимир')","(1, 1)"
432,"('основательный', 'уходить')","(1, 1)"
433,"('полка', 'возводить')","(1, 1)"
434,"('плоть', 'твой')","(1, 1)"
435,"('планета', 'земля')","(1, 1)"
436,"('платье', 'мы')","(1, 1)"
437,"('пленять', 'любовь')","(1, 1)"
438,"('плескать', 'волна')","(1, 1)"
439,"('плечо', 'ложиться')","(1, 1)"
440,"('плод', 'стол')","(1, 1)"
441,"('плоцкий', 'рядовой')","(1, 1)"
442,"('плакать', 'готовый')","(1, 1)"
443,"('плыть', 'москва')","(1, 1)"
444,"('плыть', 'сквозь')","(1, 1)"
445,"('плющ', 'снимать')","(1, 1)"
446,"('плясать', 'женщина')","(1, 1)"
447,"('пляска', 'медь')","(1, 1)"
448,"('победа', 'гайк')","(1, 1)"
449,"('плакать', 'мой')","(1, 1)"
450,"('плакать', 'алмаз')","(1, 1)"
451,"('поведывать', 'хотеть')","(1, 1)"
452,"('петь', 'песня')","(1, 1)"
453,"('песня', 'слово')","(1, 1)"
454,"('песня', 'становиться')","(1, 1)"
455,"('песок', 'пустыня')","(1, 1)"
456,"('петр', 'викторович')","(1, 1)"
457,"('петь', 'горестный')","(1, 1)"
458,"('петь', 'мужество')","(1, 1)"
459,"('петь', 'радость')","(1, 1)"
460,"('письмо', 'письмо')","(1, 1)"
461,"('петь', 'хвала')","(1, 1)"
462,"('печаль', 'петь')","(1, 1)"
463,"('печаль', 'слезать')","(1, 1)"
464,"('писать', 'читать')","(1, 1)"
465,"('письмо', 'идти')","(1, 1)"
466,"('письмо', 'отправлять')","(1, 1)"
467,"('победный', 'сверкать')","(1, 1)"
468,"('погасать', 'смертельный')","(1, 1)"
469,"('песня', 'петь')","(1, 1)"
470,"('покой', 'лишь')","(1, 1)"
471,"('пойти', 'собирать')","(1, 1)"
472,"('пойти', 'сражаться')","(1, 1)"
473,"('пойти', 'ты')","(1, 1)"
474,"('пока', 'мертвый')","(1, 1)"
475,"('показывать', 'свой')","(1, 1)"
476,"('покой', 'жизнь')","(1, 1)"
477,"('покой', 'отчизна')","(1, 1)"
478,"('пойти', 'пойти')","(1, 1)"
479,"('покой', 'пусть')","(1, 1)"
480,"('поле', 'бой')","(1, 1)"
481,"('поле', 'ветер')","(1, 1)"
482,"('поле', 'лес')","(1, 1)"
483,"('поле', 'свой')","(1, 1)"
484,"('полк', 'подошва')","(1, 1)"
485,"('пойти', 'свой')","(1, 1)"
486,"('пойти', 'искать')","(1, 1)"
487,"('погибель', 'померкнуть')","(1, 1)"
488,"('подо', 'я')","(1, 1)"
489,"('погребать', 'поле')","(1, 1)"
490,"('подвиг', 'свой')","(1, 1)"
491,"('подвиг', 'труд')","(1, 1)"
492,"('подернуть', 'земля')","(1, 1)"
493,"('подлинный', 'образ')","(1, 1)"
494,"('подниматься', 'гора')","(1, 1)"
495,"('подошва', 'арарат')","(1, 1)"
496,"('пойти', 'дождь')","(1, 1)"
497,"('подруга', 'свой')","(1, 1)"
498,"('подымать', 'дно')","(1, 1)"
499,"('подымать', 'ружье')","(1, 1)"
500,"('пожар', 'пылать')","(1, 1)"
501,"('поздний', 'час')","(1, 1)"
502,"('позорный', 'сон')","(1, 1)"
503,"('песня', 'плыть')","(1, 1)"
504,"('песня', 'песня')","(1, 1)"
505,"('оставаться', 'жизнь')","(1, 1)"
506,"('оттенок', 'чайный')","(1, 1)"
507,"('открывать', 'дверь')","(1, 1)"
508,"('открывать', 'земля')","(1, 1)"
509,"('отливать', 'губа')","(1, 1)"
510,"('относительно', 'улыбаться')","(1, 1)"
511,"('отправлять', 'вчера')","(1, 1)"
512,"('отрадный', 'звезда')","(1, 1)"
513,"('отчизна', 'свой')","(1, 1)"
514,"('отзвук', 'мука')","(1, 1)"
515,"('отчий', 'дом')","(1, 1)"
516,"('охапка', 'лимонный')","(1, 1)"
517,"('очень', 'благодарный')","(1, 1)"
518,"('очень', 'красивый')","(1, 1)"
519,"('п', 'г')","(1, 1)"
520,"('п', 'зуб')","(1, 1)"
521,"('открывать', 'глаз')","(1, 1)"
522,"('отец', 'сын')","(1, 1)"
523,"('п', 'полонский')","(1, 1)"
524,"('ответ', 'ждать')","(1, 1)"
525,"('оставаться', 'лишь')","(1, 1)"
526,"('оставаться', 'навек')","(1, 1)"
527,"('оставлять', 'город')","(1, 1)"
528,"('оставлять', 'оставлять')","(1, 1)"
529,"('оставлять', 'свой')","(1, 1)"
530,"('острый', 'нож')","(1, 1)"
531,"('ответ', 'жизнь')","(1, 1)"
532,"('отец', 'стена')","(1, 1)"
533,"('ответ', 'лишь')","(1, 1)"
534,"('ответ', 'приносить')","(1, 1)"
535,"('ответ', 'тишина')","(1, 1)"
536,"('отвечать', 'молчание')","(1, 1)"
537,"('отворять', 'армения')","(1, 1)"
538,"('отец', 'проходить')","(1, 1)"
539,"('п', 'п')","(1, 1)"
540,"('падать', 'земля')","(1, 1)"
541,"('песня', 'мой')","(1, 1)"
542,"('переставать', 'вдохновлять')","(1, 1)"
543,"('первый', 'шаг')","(1, 1)"
544,"('передо', 'я')","(1, 1)"
545,"('переживать', 'свой')","(1, 1)"
546,"('перекличка', 'положено')","(1, 1)"
547,"('перенести', 'отвечать')","(1, 1)"
548,"('переправа', 'днепр')","(1, 1)"
549,"('перец', 'огневой')","(1, 1)"
550,"('первый', 'срываться')","(1, 1)"
551,"('перс', 'сражение')","(1, 1)"
552,"('персик', 'чудо')","(1, 1)"
553,"('песня', 'грустный')","(1, 1)"
554,"('песня', 'забывать')","(1, 1)"
555,"('песня', 'земля')","(1, 1)"
556,"('песня', 'мать')","(1, 1)"
557,"('первый', 'твой')","(1, 1)"
558,"('первый', 'смущаться')","(1, 1)"
559,"('падать', 'падать')","(1, 1)"
560,"('парить', 'облако')","(1, 1)"
561,"('падать', 'снег')","(1, 1)"
562,"('палентэкен', 'скала')","(1, 1)"
563,"('палец', 'смычок')","(1, 1)"
564,"('память', 'долго')","(1, 1)"
565,"('память', 'земля')","(1, 1)"
566,"('папа', 'говорить')","(1, 1)"
567,"('парус', 'парус')","(1, 1)"
568,"('первый', 'публикация')","(1, 1)"
569,"('пасть', 'бой')","(1, 1)"
570,"('пасть', 'война')","(1, 1)"
571,"('пейзаж', 'чужеродность')","(1, 1)"
572,"('пепел', 'зола')","(1, 1)"
573,"('первый', 'любовь')","(1, 1)"
574,"('первый', 'прямо')","(1, 1)"
575,"('святой', 'жить')","(1, 1)"
576,"('священник', 'наряд')","(1, 1)"
577,"('александр', 'рюссы')","(1, 1)"
578,"('себя', 'лишь')","(1, 1)"
579,"('ты', 'привет')","(1, 1)"
580,"('ты', 'рука')","(1, 1)"
581,"('ты', 'свой')","(1, 1)"
582,"('ты', 'сердце')","(1, 1)"
583,"('ты', 'сказать')","(1, 1)"
584,"('ты', 'ты')","(1, 1)"
585,"('ты', 'чужой')","(1, 1)"
586,"('тысяча', 'год')","(1, 1)"
587,"('тысяча', 'тысяча')","(1, 1)"
588,"('тысяча', 'человек')","(1, 1)"
589,"('тыща', 'год')","(1, 1)"
590,"('тьма', 'тьма')","(1, 1)"
591,"('тяжелый', 'меч')","(1, 1)"
592,"('тяжелый', 'стих')","(1, 1)"
593,"('тяжко', 'страдать')","(1, 1)"
594,"('ты', 'первый')","(1, 1)"
595,"('ты', 'открывать')","(1, 1)"
596,"('ты', 'один')","(1, 1)"
597,"('туман', 'восходить')","(1, 1)"
598,"('трепет', 'милый')","(1, 1)"
599,"('трепет', 'стоять')","(1, 1)"
600,"('тринадцать', 'год')","(1, 1)"
601,"('тропа', 'освещать')","(1, 1)"
602,"('труд', 'свой')","(1, 1)"
603,"('трудность', 'наука')","(1, 1)"
604,"('турция', 'армянин')","(1, 1)"
605,"('ты', 'нежный')","(1, 1)"
606,"('турция', 'спасать')","(1, 1)"
607,"('ты', 'армения')","(1, 1)"
608,"('ты', 'весь')","(1, 1)"
609,"('ты', 'господь')","(1, 1)"
610,"('ты', 'жить')","(1, 1)"
611,"('ты', 'идти')","(1, 1)"
612,"('тянуться', 'виноград')","(1, 1)"
613,"('убивать', 'лишь')","(1, 1)"
614,"('убивать', 'рассвет')","(1, 1)"
615,"('ускользать', 'лик')","(1, 1)"
616,"('умирать', 'вместе')","(1, 1)"
617,"('умирать', 'готовый')","(1, 1)"
618,"('умножи', 'воскрешать')","(1, 1)"
619,"('умолкать', 'жутко')","(1, 1)"
620,"('уплывать', 'даль')","(1, 1)"
621,"('упоить', 'знать')","(1, 1)"
622,"('услада', 'первый')","(1, 1)"
623,"('ум', 'сердце')","(1, 1)"
624,"('услышать', 'твой')","(1, 1)"
625,"('услышать', 'ты')","(1, 1)"
626,"('успевать', 'запоминаться')","(1, 1)"
627,"('уста', 'бояться')","(1, 1)"
628,"('уста', 'сказать')","(1, 1)"
629,"('уста', 'странно')","(1, 1)"
